ID,question,
1,Have you ever been the victim of a crime ?,
2,Have you ever whitnessed a crime ?,
3,Have you haver caused an accident ?,
4,Have you ever taken illegal substances (drugs) ?,
5,Have you ever cheated on a partner ?,
6,Have you ever cheated on a test at university ?,
7,Have you ever taken credit for someone elses work (at Uni/ at your job etc.) ?,
8,Have you ever told on someone ?,
9,Have you ever let someone else take the blame for something you did ?,
10,Do you have a favorite parent ?,
11,Have you ever stolen something ?,
12,Have you ever hidden something from/ lied to your best friend ?,
13,Have you ever forged a signature ?,
14,Have you ever used a fake ID ?,/lied about your age to get a benefit (eg access a website)
15,Have you ever watched a movie illegaly online ? ,
16,Have you ever read a personal letter or diary of somebody else ?,
17,Did you ever smoke when you were underage ?,
18,Have you ever gotten so drunk you blacked out ?,
19,Have you ever started a rumor about someone ?,
20,Have you ever lied in an interview to get a job ?,
21,Did you ever run away from the police ?,
22,Have you ever vandalised something ?,
